DATE,CPMNACSAB1GQCH_NBD20000101
2000-01-01,100.00000
2001-01-01,102.56540
2002-01-01,102.23459
2003-01-01,103.40722
2004-01-01,106.51599
2005-01-01,110.45684
2006-01-01,117.42830
2007-01-01,124.92791
2008-01-01,130.29808
2009-01-01,127.88713
2010-01-01,132.44793
2011-01-01,134.82179
2012-01-01,136.49859
2013-01-01,138.82418
2014-01-01,141.15839
2015-01-01,141.66479
2016-01-01,143.75202
2017-01-01,145.17503
2018-01-01,150.46896
2019-01-01,152.02919
2020-01-01,147.73293
2021-01-01,158.00713
2022-01-01,167.76669
