DATE,UKNGDP_NBD20000101
2000-01-01,100.00000
2001-01-01,104.12291
2002-01-01,108.23864
2003-01-01,114.31585
2004-01-01,120.15758
2005-01-01,127.07213
2006-01-01,133.73021
2007-01-01,140.32561
2008-01-01,144.77375
2009-01-01,140.70399
2010-01-01,146.13219
2011-01-01,151.04129
2012-01-01,155.68584
2013-01-01,161.83128
2014-01-01,169.20378
2015-01-01,174.10379
2016-01-01,180.93494
2017-01-01,189.18721
2018-01-01,195.53033
2019-01-01,202.94499
2020-01-01,191.16822
2021-01-01,207.50169
2022-01-01,227.66082
