DATE,GDP_NBD20000101
2000-01-01,100.00000
2001-01-01,103.22874
2002-01-01,106.61554
2003-01-01,111.75986
2004-01-01,119.18108
2005-01-01,127.19986
2006-01-01,134.77366
2007-01-01,141.19886
2008-01-01,144.08283
2009-01-01,141.23632
2010-01-01,146.80559
2011-01-01,152.17837
2012-01-01,158.56059
2013-01-01,164.67430
2014-01-01,171.77076
2015-01-01,178.47141
2016-01-01,183.44553
2017-01-01,191.31982
2018-01-01,201.50826
2019-01-01,210.12664
2020-01-01,208.31338
2021-01-01,231.01436
2022-01-01,253.70222
